Unnamed: 0,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Sector,Industry
1649,217190,KR7217190008,제너셈,KOSDAQ,벤처기업부,5770,1,330,6.07,5740,5900,5550,152020,865260465,75897200970,13153761,KSQ,벤처기업부,특수 목적용 기계 제조업
1650,011150,KR7011150000,CJ씨푸드,KOSPI,,2110,1,75,3.69,2050,2130,2050,40638,85642896,75813931030,35930773,STK,,기타 식품 제조업
1651,320000,KR7320000003,한울반도체,KOSDAQ,중견기업부,11360,3,0,0.0,12000,12190,11250,141986,1639455265,75757681600,6668810,KSQ,중견기업부,특수 목적용 기계 제조업
1652,006890,KR7006890008,태경케미컬,KOSPI,,6530,1,150,2.35,6400,6550,6350,36862,238681780,75748000000,11600000,STK,,기초 화학물질 제조업
1653,001560,KR7001560002,제일연마,KOSPI,,9960,1,160,1.63,9810,10000,9720,1094,10730010,75696000000,7600000,STK,,기타 비금속 광물제품 제조업
1654,002720,KR7002720001,국제약품,KOSPI,,3575,1,120,3.47,3550,3575,3455,28738,101394980,75646399400,21159832,STK,,의약품 제조업
1655,076610,KR7076610005,해성옵틱스,KOSDAQ,벤처기업부,1340,1,20,1.52,1370,1439,1327,732955,1016819913,75478867420,56327513,KSQ,벤처기업부,사진장비 및 광학기기 제조업
1656,026150,KR7026150003,특수건설,KOSDAQ,중견기업부,4300,1,200,4.88,4170,4350,4170,32195,137362785,75449223300,17546331,KSQ,중견기업부,토목 건설업
1657,171120,KR7171120009,라이온켐텍,KOSDAQ,우량기업부,2100,1,40,1.94,2060,2115,2055,78493,163248417,75393696000,35901760,KSQ,우량기업부,기타 화학제품 제조업
1658,018500,KR7018500009,동원금속,KOSPI,,1611,1,165,11.41,1455,1625,1453,216116,329731543,75322197063,46754933,STK,,자동차 신품 부품 제조업
